"Plot Title: JRR_NH34P"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20356137, SEN S/N: 20356137, LBL: Temp)","Intensity, Lux (LGR S/N: 20356137, SEN S/N: 20356137, LBL: umol)","Coupler Attached (LGR S/N: 20356137)","Coupler Detached (LGR S/N: 20356137)","Host Connected (LGR S/N: 20356137)","Stopped (LGR S/N: 20356137)","End Of File (LGR S/N: 20356137)"
98,06/04/22 02:00:00 PM,31.472,30311.3,,,,,
99,06/04/22 03:00:00 PM,32.086,30311.3,,,,,
100,06/04/22 04:00:00 PM,32.600,30311.3,,,,,
101,06/04/22 05:00:00 PM,32.704,30311.3,,,,,
102,06/04/22 06:00:00 PM,33.014,30311.3,,,,,
103,06/04/22 07:00:00 PM,29.853,21355.7,,,,,
104,06/04/22 08:00:00 PM,27.173,14466.8,,,,,
105,06/04/22 09:00:00 PM,24.158,9644.5,,,,,
106,06/04/22 10:00:00 PM,19.567,0.0,,,,,
107,06/04/22 11:00:00 PM,18.331,0.0,,,,,
108,06/05/22 12:00:00 AM,17.379,0.0,,,,,
109,06/05/22 01:00:00 AM,17.094,0.0,,,,,
110,06/05/22 02:00:00 AM,16.713,0.0,,,,,
111,06/05/22 03:00:00 AM,16.427,0.0,,,,,
112,06/05/22 04:00:00 AM,16.141,0.0,,,,,
113,06/05/22 05:00:00 AM,15.951,0.0,,,,,
114,06/05/22 06:00:00 AM,18.806,9644.5,,,,,
115,06/05/22 07:00:00 AM,20.901,14466.8,,,,,
116,06/05/22 08:00:00 AM,23.388,21355.7,,,,,
117,06/05/22 09:00:00 AM,27.665,30311.3,,,,,
118,06/05/22 10:00:00 AM,28.953,28933.5,,,,,
119,06/05/22 11:00:00 AM,29.853,30311.3,,,,,
120,06/05/22 12:00:00 PM,30.356,30311.3,,,,,
121,06/05/22 01:00:00 PM,30.862,28933.5,,,,,
122,06/05/22 02:00:00 PM,30.963,24800.2,,,,,
123,06/05/22 03:00:00 PM,32.291,27555.7,,,,,
124,06/05/22 04:00:00 PM,32.600,28933.5,,,,,
125,06/05/22 05:00:00 PM,33.014,28933.5,,,,,
126,06/05/22 06:00:00 PM,33.326,28933.5,,,,,
127,06/05/22 07:00:00 PM,30.054,19289.0,,,,,
128,06/05/22 08:00:00 PM,27.173,14466.8,,,,,
129,06/05/22 09:00:00 PM,24.158,9300.1,,,,,
130,06/05/22 10:00:00 PM,19.662,0.0,,,,,
131,06/05/22 11:00:00 PM,18.426,0.0,,,,,
132,06/06/22 12:00:00 AM,17.379,0.0,,,,,
133,06/06/22 01:00:00 AM,17.094,0.0,,,,,
134,06/06/22 02:00:00 AM,16.808,0.0,,,,,
135,06/06/22 03:00:00 AM,16.427,0.0,,,,,
136,06/06/22 04:00:00 AM,16.141,0.0,,,,,
137,06/06/22 05:00:00 AM,15.951,0.0,,,,,
138,06/06/22 06:00:00 AM,18.806,9300.1,,,,,
139,06/06/22 07:00:00 AM,20.996,14466.8,,,,,
140,06/06/22 08:00:00 AM,23.196,19977.9,,,,,
141,06/06/22 09:00:00 AM,27.567,28933.5,,,,,
142,06/06/22 10:00:00 AM,29.053,27555.7,,,,,
143,06/06/22 11:00:00 AM,29.953,27555.7,,,,,
144,06/06/22 12:00:00 PM,30.457,23422.4,,,,,
145,06/06/22 01:00:00 PM,31.064,27555.7,,,,,
146,06/06/22 02:00:00 PM,31.778,27555.7,,,,,
147,06/06/22 03:00:00 PM,32.497,27555.7,,,,,
148,06/06/22 04:00:00 PM,32.911,27555.7,,,,,
149,06/06/22 05:00:00 PM,33.118,26178.0,,,,,
150,06/06/22 06:00:00 PM,33.326,26178.0,,,,,
151,06/06/22 07:00:00 PM,30.154,19289.0,,,,,
152,06/06/22 08:00:00 PM,27.370,14466.8,,,,,
153,06/06/22 09:00:00 PM,24.448,9300.1,,,,,
154,06/06/22 10:00:00 PM,19.758,0.0,,,,,
155,06/06/22 11:00:00 PM,18.426,0.0,,,,,
156,06/07/22 12:00:00 AM,17.475,0.0,,,,,
157,06/07/22 01:00:00 AM,17.189,0.0,,,,,
158,06/07/22 02:00:00 AM,16.903,0.0,,,,,
159,06/07/22 03:00:00 AM,16.523,0.0,,,,,
160,06/07/22 04:00:00 AM,16.237,0.0,,,,,
161,06/07/22 05:00:00 AM,16.046,0.0,,,,,
162,06/07/22 06:00:00 AM,19.092,8266.7,,,,,
163,06/07/22 07:00:00 AM,21.282,14466.8,,,,,
164,06/07/22 08:00:00 AM,23.484,19977.9,,,,,
165,06/07/22 09:00:00 AM,27.665,26178.0,,,,,
166,06/07/22 10:00:00 AM,29.152,27555.7,,,,,
167,06/07/22 11:00:00 AM,30.154,26178.0,,,,,
168,06/07/22 12:00:00 PM,30.760,26178.0,,,,,
169,06/07/22 01:00:00 PM,31.064,26178.0,,,,,
170,06/07/22 02:00:00 PM,31.574,27555.7,,,,,
171,06/07/22 03:00:00 PM,32.394,26178.0,,,,,
172,06/07/22 04:00:00 PM,32.704,26178.0,,,,,
173,06/07/22 05:00:00 PM,33.014,27555.7,,,,,
174,06/07/22 06:00:00 PM,33.118,26178.0,,,,,
175,06/07/22 07:00:00 PM,29.953,19289.0,,,,,
176,06/07/22 08:00:00 PM,27.272,13777.9,,,,,
177,06/07/22 09:00:00 PM,24.351,9300.1,,,,,
178,06/07/22 10:00:00 PM,19.758,0.0,,,,,
179,06/07/22 11:00:00 PM,18.521,0.0,,,,,
180,06/08/22 12:00:00 AM,17.475,0.0,,,,,
181,06/08/22 01:00:00 AM,17.284,0.0,,,,,
182,06/08/22 02:00:00 AM,16.903,0.0,,,,,
183,06/08/22 03:00:00 AM,16.523,0.0,,,,,
184,06/08/22 04:00:00 AM,16.237,0.0,,,,,
185,06/08/22 05:00:00 AM,16.046,0.0,,,,,
186,06/08/22 06:00:00 AM,18.901,9300.1,,,,,
187,06/08/22 07:00:00 AM,21.091,14466.8,,,,,
188,06/08/22 08:00:00 AM,23.292,18600.1,,,,,
