"Plot Title: JR_NH12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946908, SEN S/N: 10946908)","RH, % (LGR S/N: 10946908, SEN S/N: 10946908)","Host Connected (LGR S/N: 10946908)","Stopped (LGR S/N: 10946908)","End Of File (LGR S/N: 10946908)"
109,06/03/22 04:08:06 AM,16.085,84.843,,,
110,06/03/22 05:08:06 AM,15.894,84.962,,,
111,06/03/22 06:08:06 AM,16.013,83.846,,,
112,06/03/22 07:08:06 AM,16.609,81.119,,,
113,06/03/22 08:08:06 AM,17.156,82.180,,,
114,06/03/22 09:08:06 AM,18.584,79.931,,,
115,06/03/22 10:08:06 AM,20.106,78.023,,,
116,06/03/22 11:08:06 AM,20.940,77.569,,,
117,06/03/22 12:08:06 PM,21.441,76.297,,,
118,06/03/22 01:08:06 PM,21.871,76.528,,,
119,06/03/22 02:08:06 PM,22.421,76.582,,,
120,06/03/22 03:08:06 PM,23.189,74.767,,,
121,06/03/22 04:08:06 PM,23.429,75.425,,,
122,06/03/22 05:08:06 PM,23.669,75.763,,,
123,06/03/22 06:08:06 PM,23.934,74.972,,,
124,06/03/22 07:08:06 PM,23.213,76.915,,,
125,06/03/22 08:08:06 PM,22.613,77.857,,,
126,06/03/22 09:08:06 PM,21.441,79.012,,,
127,06/03/22 10:08:06 PM,19.464,82.691,,,
128,06/03/22 11:08:06 PM,18.346,83.550,,,
129,06/04/22 12:08:06 AM,17.347,83.545,,,
130,06/04/22 01:08:06 AM,17.037,84.680,,,
131,06/04/22 02:08:06 AM,16.752,84.287,,,
132,06/04/22 03:08:06 AM,16.442,84.380,,,
133,06/04/22 04:08:06 AM,16.180,84.266,,,
134,06/04/22 05:08:06 AM,15.918,85.049,,,
135,06/04/22 06:08:06 AM,16.108,83.101,,,
136,06/04/22 07:08:06 AM,16.609,80.842,,,
137,06/04/22 08:08:06 AM,17.180,81.936,,,
138,06/04/22 09:08:06 AM,18.584,80.127,,,
139,06/04/22 10:08:06 AM,20.011,78.230,,,
140,06/04/22 11:08:06 AM,20.869,77.868,,,
141,06/04/22 12:08:06 PM,21.417,76.464,,,
142,06/04/22 01:08:06 PM,21.847,76.264,,,
143,06/04/22 02:08:06 PM,22.421,76.207,,,
144,06/04/22 03:08:06 PM,22.997,76.207,,,
145,06/04/22 04:08:06 PM,23.429,75.570,,,
146,06/04/22 05:08:06 PM,23.814,75.152,,,
147,06/04/22 06:08:06 PM,24.031,75.137,,,
148,06/04/22 07:08:06 PM,23.237,77.439,,,
149,06/04/22 08:08:06 PM,22.613,77.512,,,
150,06/04/22 09:08:06 PM,21.370,78.770,,,
151,06/04/22 10:08:06 PM,19.487,82.000,,,
152,06/04/22 11:08:06 PM,18.298,83.870,,,
153,06/05/22 12:08:06 AM,17.466,83.269,,,
154,06/05/22 01:08:06 AM,16.918,84.872,,,
155,06/05/22 02:08:06 AM,16.680,84.462,,,
156,06/05/22 03:08:06 AM,16.418,84.320,,,
157,06/05/22 04:08:06 AM,16.132,84.364,,,
158,06/05/22 05:08:06 AM,15.822,84.620,,,
159,06/05/22 06:08:06 AM,16.013,83.217,,,
160,06/05/22 07:08:06 AM,16.585,80.919,,,
161,06/05/22 08:08:06 AM,17.133,82.009,,,
162,06/05/22 09:08:06 AM,18.536,80.032,,,
163,06/05/22 10:08:06 AM,20.035,78.178,,,
164,06/05/22 11:08:06 AM,20.940,77.683,,,
