DateTime,Temp
6/9/22 23:39,22.717
6/10/22 0:39,21.282
6/10/22 1:39,21.091
6/10/22 2:39,20.329
6/10/22 3:39,19.758
6/10/22 4:39,19.377
6/10/22 5:39,18.996
6/10/22 6:39,22.429
6/10/22 7:39,24.158
6/10/22 8:39,25.708
6/10/22 9:39,31.983
6/10/22 10:39,34.268
6/10/22 11:39,35.864
6/10/22 12:39,36.946
6/10/22 13:39,38.379
6/10/22 14:39,39.276
6/10/22 15:39,40.071
6/10/22 16:39,40.761
6/10/22 17:39,40.992
6/10/22 18:39,40.876
6/10/22 19:39,36.079
6/10/22 20:39,34.268
6/10/22 21:39,29.953
6/10/22 22:39,23.869
6/10/22 23:39,22.717
6/11/22 0:39,21.282
6/11/22 1:39,21.187
6/11/22 2:39,20.329
6/11/22 3:39,19.758
6/11/22 4:39,19.377
6/11/22 5:39,18.996
6/11/22 6:39,22.429
6/11/22 7:39,24.158
6/11/22 8:39,25.708
6/11/22 9:39,32.086
6/11/22 10:39,34.268
6/11/22 11:39,35.971
6/11/22 12:39,37.165
6/11/22 13:39,38.379
6/11/22 14:39,39.389
6/11/22 15:39,40.185
6/11/22 16:39,40.876
6/11/22 17:39,41.108
6/11/22 18:39,41.108
6/11/22 19:39,36.295
6/11/22 20:39,34.374
6/11/22 21:39,30.054
6/11/22 22:39,23.869
6/11/22 23:39,22.717
6/12/22 0:39,21.282
6/12/22 1:39,21.187
6/12/22 2:39,20.329
6/12/22 3:39,19.758
6/12/22 4:39,19.377
6/12/22 5:39,18.996
6/12/22 6:39,22.525
6/12/22 7:39,24.158
6/12/22 8:39,25.708
6/12/22 9:39,32.086
6/12/22 10:39,34.374
6/12/22 11:39,35.649
6/12/22 12:39,37.055
6/12/22 13:39,38.379
6/12/22 14:39,39.389
6/12/22 15:39,40.3
6/12/22 16:39,40.992
6/12/22 17:39,40.992
6/12/22 18:39,40.992
6/12/22 19:39,36.187
6/12/22 20:39,34.268
6/12/22 21:39,30.054
6/12/22 22:39,23.869
6/12/22 23:39,22.812
6/13/22 0:39,21.282
6/13/22 1:39,21.187
6/13/22 2:39,20.329
6/13/22 3:39,19.853
6/13/22 4:39,19.472
6/13/22 5:39,18.996
6/13/22 6:39,22.429
6/13/22 7:39,24.158
6/13/22 8:39,25.805
6/13/22 9:39,32.086
6/13/22 10:39,34.268
6/13/22 11:39,35.864
6/13/22 12:39,37.165
6/13/22 13:39,38.379
6/13/22 14:39,39.276
6/13/22 15:39,40.071
6/13/22 16:39,40.876
6/13/22 17:39,41.108
6/13/22 18:39,40.876
6/13/22 19:39,36.079
6/13/22 20:39,34.268
6/13/22 21:39,29.953
6/13/22 22:39,23.869
6/13/22 23:39,22.717
6/14/22 0:39,21.282
6/14/22 1:39,21.187
6/14/22 2:39,20.329
6/14/22 3:39,19.853
6/14/22 4:39,19.472
6/14/22 5:39,19.092
6/14/22 6:39,22.333
6/14/22 7:39,24.062
6/14/22 8:39,25.61
6/14/22 9:39,31.983
6/14/22 10:39,34.374
6/14/22 11:39,35.971
6/14/22 12:39,36.946
6/14/22 13:39,38.602
6/14/22 14:39,39.163
6/14/22 15:39,40.185
6/14/22 16:39,40.876
6/14/22 17:39,41.108
6/14/22 18:39,40.992
6/14/22 19:39,36.079
6/14/22 20:39,34.268
6/14/22 21:39,29.953
6/14/22 22:39,23.869
6/14/22 23:39,22.812
6/15/22 0:39,21.282
6/15/22 1:39,21.187
6/15/22 2:39,20.424
6/15/22 3:39,19.853
6/15/22 4:39,19.472
6/15/22 5:39,19.092
6/15/22 6:39,22.333
6/15/22 7:39,24.062
6/15/22 8:39,25.61
6/15/22 9:39,31.983
6/15/22 10:39,34.374
6/15/22 11:39,35.971
6/15/22 12:39,37.274
6/15/22 13:39,38.49
6/15/22 14:39,39.389
6/15/22 15:39,40.3
6/15/22 16:39,40.876
6/15/22 17:39,41.225
6/15/22 18:39,40.992
6/15/22 19:39,36.079
6/15/22 20:39,34.268
6/15/22 21:39,29.953
6/15/22 22:39,23.869
6/15/22 23:39,22.717
6/16/22 0:39,21.282
6/16/22 1:39,21.187
6/16/22 2:39,20.329
6/16/22 3:39,19.948
6/16/22 4:39,19.472
6/16/22 5:39,19.092
6/16/22 6:39,22.333
6/16/22 7:39,23.966
6/16/22 8:39,25.61
6/16/22 9:39,32.086
6/16/22 10:39,34.268
6/16/22 11:39,35.864
6/16/22 12:39,37.274
6/16/22 13:39,38.379
6/16/22 14:39,39.389
6/16/22 15:39,40.185
6/16/22 16:39,40.876
6/16/22 17:39,41.108
6/16/22 18:39,40.876
6/16/22 19:39,35.971
6/16/22 20:39,34.268
6/16/22 21:39,29.853
6/16/22 22:39,23.966
6/16/22 23:39,22.812
6/17/22 0:39,21.378
6/17/22 1:39,21.282
6/17/22 2:39,20.329
6/17/22 3:39,19.853
6/17/22 4:39,19.472
6/17/22 5:39,19.092
6/17/22 6:39,22.429
6/17/22 7:39,24.062
6/17/22 8:39,25.61
6/17/22 9:39,31.983
6/17/22 10:39,34.374
6/17/22 11:39,35.971
6/17/22 12:39,37.274
6/17/22 13:39,38.49
6/17/22 14:39,39.502
6/17/22 15:39,40.3
6/17/22 16:39,40.876
6/17/22 17:39,41.108
6/17/22 18:39,40.992
6/17/22 19:39,35.971
6/17/22 20:39,34.374
6/17/22 21:39,29.953
6/17/22 22:39,23.869
6/17/22 23:39,22.812
6/18/22 0:39,21.282
6/18/22 1:39,21.282
6/18/22 2:39,20.424
6/18/22 3:39,19.948
6/18/22 4:39,19.472
6/18/22 5:39,19.092
6/18/22 6:39,22.429
6/18/22 7:39,24.062
6/18/22 8:39,25.61
6/18/22 9:39,32.086
6/18/22 10:39,34.479
6/18/22 11:39,36.079
6/18/22 12:39,37.274
6/18/22 13:39,38.602
6/18/22 14:39,39.502
6/18/22 15:39,40.53
6/18/22 16:39,41.108
6/18/22 17:39,40.645
6/18/22 18:39,40.415
6/18/22 19:39,34.374
6/18/22 20:39,33.222
6/18/22 21:39,29.252
6/18/22 22:39,23.869
6/18/22 23:39,22.717
6/19/22 0:39,21.282
6/19/22 1:39,21.091
6/19/22 2:39,20.329
6/19/22 3:39,19.853
6/19/22 4:39,19.472
6/19/22 5:39,18.996
6/19/22 6:39,21.569
6/19/22 7:39,23.004
6/19/22 8:39,24.545
6/19/22 9:39,29.652
6/19/22 10:39,32.086
6/19/22 11:39,33.743
6/19/22 12:39,35.115
6/19/22 13:39,36.403
6/19/22 14:39,37.384
6/19/22 15:39,38.157
6/19/22 16:39,38.938
6/19/22 17:39,39.163
6/19/22 18:39,38.938
6/19/22 19:39,35.115
6/19/22 20:39,33.326
6/19/22 21:39,29.252
6/19/22 22:39,23.869
6/19/22 23:39,22.717
6/20/22 0:39,21.282
6/20/22 1:39,21.187
6/20/22 2:39,20.329
6/20/22 3:39,19.758
6/20/22 4:39,19.377
6/20/22 5:39,18.996
6/20/22 6:39,21.569
6/20/22 7:39,23.1
6/20/22 8:39,24.545
6/20/22 9:39,29.652
6/20/22 10:39,32.188
6/20/22 11:39,33.743
6/20/22 12:39,35.115
6/20/22 13:39,36.295
6/20/22 14:39,37.384
6/20/22 15:39,38.157
6/20/22 16:39,38.826
6/20/22 17:39,39.163
6/20/22 18:39,38.826
6/20/22 19:39,35.222
6/20/22 20:39,33.326
6/20/22 21:39,29.252
6/20/22 22:39,23.869
6/20/22 23:39,22.717
6/21/22 0:39,21.282
6/21/22 1:39,21.091
6/21/22 2:39,20.234
6/21/22 3:39,19.758
6/21/22 4:39,19.472
6/21/22 5:39,18.996
6/21/22 6:39,21.569
6/21/22 7:39,22.908
6/21/22 8:39,24.545
6/21/22 9:39,29.152
6/21/22 10:39,31.472
6/21/22 11:39,33.118
6/21/22 12:39,34.479
6/21/22 13:39,35.756
6/21/22 14:39,36.728
6/21/22 15:39,37.604
6/21/22 16:39,38.268
6/21/22 17:39,38.49
6/21/22 18:39,38.268
6/21/22 19:39,35.115
6/21/22 20:39,33.326
6/21/22 21:39,29.252
6/21/22 22:39,23.869
6/21/22 23:39,22.717
6/22/22 0:39,21.187
6/22/22 1:39,21.091
6/22/22 2:39,20.329
6/22/22 3:39,19.853
6/22/22 4:39,19.377
6/22/22 5:39,18.996
6/22/22 6:39,21.569
6/22/22 7:39,23.004
6/22/22 8:39,24.545
6/22/22 9:39,29.152
6/22/22 10:39,31.472
6/22/22 11:39,33.118
6/22/22 12:39,34.479
6/22/22 13:39,35.756
6/22/22 14:39,36.728
6/22/22 15:39,37.604
6/22/22 16:39,38.157
6/22/22 17:39,38.49
6/22/22 18:39,38.157
6/22/22 19:39,35.115
6/22/22 20:39,33.222
6/22/22 21:39,29.252
6/22/22 22:39,23.869
6/22/22 23:39,22.717
6/23/22 0:39,21.187
6/23/22 1:39,21.091
6/23/22 2:39,20.234
6/23/22 3:39,19.853
6/23/22 4:39,19.377
6/23/22 5:39,18.996
6/23/22 6:39,21.569
6/23/22 7:39,22.908
6/23/22 8:39,24.641
6/23/22 9:39,29.053
6/23/22 10:39,31.37
6/23/22 11:39,33.118
6/23/22 12:39,34.374
6/23/22 13:39,35.649
6/23/22 14:39,36.62
6/23/22 15:39,37.494
6/23/22 16:39,38.268
6/23/22 17:39,38.49
6/23/22 18:39,38.157
6/23/22 19:39,35.115
6/23/22 20:39,33.326
6/23/22 21:39,29.252
6/23/22 22:39,23.773
6/23/22 23:39,22.621
6/24/22 0:39,21.187
6/24/22 1:39,21.091
6/24/22 2:39,20.234
6/24/22 3:39,19.758
6/24/22 4:39,19.377
6/24/22 5:39,18.996
6/24/22 6:39,21.569
6/24/22 7:39,22.908
6/24/22 8:39,24.448
6/24/22 9:39,29.152
6/24/22 10:39,31.37
6/24/22 11:39,33.014
6/24/22 12:39,34.163
6/24/22 13:39,35.435
6/24/22 14:39,36.403
6/24/22 15:39,37.274
6/24/22 16:39,37.935
6/24/22 17:39,38.268
6/24/22 18:39,37.824
6/24/22 19:39,35.009
6/24/22 20:39,33.118
6/24/22 21:39,29.152
6/24/22 22:39,23.869
6/24/22 23:39,22.621
6/25/22 0:39,21.187
6/25/22 1:39,21.091
6/25/22 2:39,20.329
6/25/22 3:39,19.758
6/25/22 4:39,19.377
6/25/22 5:39,18.996
6/25/22 6:39,21.569
6/25/22 7:39,22.908
6/25/22 8:39,24.351
6/25/22 9:39,28.853
6/25/22 10:39,31.064
6/25/22 11:39,32.807
6/25/22 12:39,34.163
6/25/22 13:39,35.328
6/25/22 14:39,33.326
6/25/22 15:39,34.163
6/25/22 16:39,34.796
6/25/22 17:39,35.115
6/25/22 18:39,34.691
6/25/22 19:39,32.704
6/25/22 20:39,30.963
6/25/22 21:39,27.567
6/25/22 22:39,23.677
6/25/22 23:39,22.621
6/26/22 0:39,21.091
6/26/22 1:39,20.996
6/26/22 2:39,20.138
6/26/22 3:39,19.662
6/26/22 4:39,19.282
6/26/22 5:39,18.901
6/26/22 6:39,20.043
6/26/22 7:39,20.71
6/26/22 8:39,22.142
6/26/22 9:39,25.61
6/26/22 10:39,27.961
6/26/22 11:39,29.652
6/26/22 12:39,30.963
6/26/22 13:39,32.291
6/26/22 14:39,33.222
6/26/22 15:39,34.058
6/26/22 16:39,34.691
6/26/22 17:39,35.009
6/26/22 18:39,34.585
6/26/22 19:39,32.6
6/26/22 20:39,30.963
6/26/22 21:39,27.468
6/26/22 22:39,23.677
6/26/22 23:39,22.525
6/27/22 0:39,21.091
6/27/22 1:39,20.996
6/27/22 2:39,20.138
6/27/22 3:39,19.662
6/27/22 4:39,19.282
6/27/22 5:39,18.901
6/27/22 6:39,20.043
6/27/22 7:39,20.615
6/27/22 8:39,22.142
6/27/22 9:39,25.61
6/27/22 10:39,27.961
6/27/22 11:39,29.752
6/27/22 12:39,31.064
6/27/22 13:39,32.291
6/27/22 14:39,33.222
6/27/22 15:39,34.058
6/27/22 16:39,34.796
6/27/22 17:39,35.009
6/27/22 18:39,34.585
6/27/22 19:39,32.704
6/27/22 20:39,30.963
6/27/22 21:39,27.468
6/27/22 22:39,23.677
6/27/22 23:39,22.525
6/28/22 0:39,21.091
6/28/22 1:39,20.996
6/28/22 2:39,20.138
6/28/22 3:39,19.662
6/28/22 4:39,19.282
6/28/22 5:39,18.901
6/28/22 6:39,19.948
6/28/22 7:39,20.71
6/28/22 8:39,22.046
6/28/22 9:39,25.708
6/28/22 10:39,28.06
6/28/22 11:39,29.652
6/28/22 12:39,30.963
6/28/22 13:39,32.291
6/28/22 14:39,33.326
6/28/22 15:39,34.058
6/28/22 16:39,34.796
6/28/22 17:39,35.009
6/28/22 18:39,34.585
6/28/22 19:39,32.6
6/28/22 20:39,30.963
6/28/22 21:39,27.468
6/28/22 22:39,23.677
6/28/22 23:39,22.525
6/29/22 0:39,21.091
6/29/22 1:39,20.996
6/29/22 2:39,20.138
6/29/22 3:39,19.662
6/29/22 4:39,19.282
6/29/22 5:39,18.901
6/29/22 6:39,19.948
6/29/22 7:39,20.615
6/29/22 8:39,22.046
6/29/22 9:39,25.708
6/29/22 10:39,27.961
6/29/22 11:39,29.652
6/29/22 12:39,31.064
6/29/22 13:39,32.291
6/29/22 14:39,33.222
6/29/22 15:39,34.163
6/29/22 16:39,34.796
6/29/22 17:39,35.009
6/29/22 18:39,34.796
6/29/22 19:39,32.704
6/29/22 20:39,30.963
6/29/22 21:39,27.468
6/29/22 22:39,23.677
6/29/22 23:39,22.525
