Date/Time,WW; Z108A; Climate Temperature(°F),WW; Z108A; Heating Target(°F),WW; Z108A; Cooling Target(°F),WW; Z108A; Ventilation Required(%),WW; Z108A; Heating Required(%)
2022/01/24 14:00:00,73.60,65.0,75.0,27.89,0.01
2022/01/24 20:00:00,68.80,65.0,75.0,3.82,0.60
2022/01/25 02:00:00,64.80,65.0,75.0,0.00,31.25
2022/01/25 08:00:00,65.00,65.0,75.0,0.00,48.11
2022/01/25 14:00:00,67.80,65.0,75.0,0.00,6.39
2022/01/25 20:00:00,65.80,65.0,75.0,0.00,8.91
2022/01/26 02:00:00,64.90,65.0,75.0,0.00,29.29
2022/01/26 08:00:00,65.00,65.0,75.0,0.00,33.46
2022/01/26 14:00:00,70.90,65.0,75.0,2.93,4.91
2022/01/26 20:00:00,68.70,65.0,75.0,4.40,5.86
2022/01/27 02:00:00,64.90,65.0,75.0,0.00,23.76
2022/01/27 08:00:00,65.10,65.0,75.0,0.00,34.43
2022/01/27 14:00:00,74.00,65.0,75.0,32.95,1.68
2022/01/27 20:00:00,70.10,65.0,75.0,18.33,0.15
2022/01/28 02:00:00,65.40,65.0,75.0,0.00,15.17
2022/01/28 08:00:00,65.10,65.0,75.0,0.00,27.24
2022/01/28 14:00:00,68.70,65.0,75.0,0.34,2.94
2022/01/28 20:00:00,70.10,65.0,75.0,13.97,2.05
2022/01/29 02:00:00,64.90,65.0,75.0,0.00,22.32
2022/01/29 08:00:00,65.10,65.0,75.0,0.00,32.43
2022/01/29 14:00:00,76.90,65.0,75.0,46.68,1.37
2022/01/29 20:00:00,74.60,65.0,75.0,38.33,0.06
2022/01/30 02:00:00,65.60,65.0,75.0,0.00,11.24
2022/01/30 08:00:00,65.10,65.0,75.0,0.00,22.58
2022/01/30 14:00:00,74.30,65.0,75.0,30.33,0.35
2022/01/30 20:00:00,73.00,65.0,75.0,32.82,0.11
2022/01/31 02:00:00,65.60,65.0,75.0,0.00,7.66
2022/01/31 08:00:00,65.10,65.0,75.0,0.00,15.34
2022/01/31 14:00:00,73.70,65.0,75.0,37.71,0.01
2022/01/31 20:00:00,70.30,65.0,75.0,22.75,0.00
2022/02/01 02:00:00,66.20,65.0,75.0,0.00,0.24
2022/02/01 08:00:00,66.10,65.0,75.0,0.00,1.83
2022/02/01 14:00:00,70.60,65.0,75.0,0.36,0.02
2022/02/01 20:00:00,67.30,65.0,75.0,0.00,0.27
2022/02/02 02:00:00,64.90,65.0,75.0,0.00,29.87
2022/02/02 08:00:00,65.00,65.0,75.0,0.00,57.30
2022/02/02 14:00:00,67.50,65.0,75.0,0.00,7.84
2022/02/02 20:00:00,65.40,65.0,75.0,0.00,27.39
2022/02/03 02:00:00,64.90,65.0,75.0,0.00,54.02
2022/02/03 08:00:00,62.30,65.0,75.0,0.00,93.92
2022/02/03 14:00:00,71.80,65.0,75.0,12.79,13.09
2022/02/03 20:00:00,68.70,65.0,75.0,12.26,13.05
2022/02/04 02:00:00,64.80,65.0,75.0,0.00,44.57
2022/02/04 08:00:00,64.40,65.0,75.0,0.00,78.05
2022/02/04 14:00:00,73.90,65.0,75.0,27.84,6.75
2022/02/04 20:00:00,70.60,65.0,75.0,21.32,2.01
2022/02/05 02:00:00,64.80,65.0,75.0,0.00,28.76
2022/02/05 08:00:00,65.10,65.0,75.0,0.00,35.39
2022/02/05 14:00:00,72.70,65.0,75.0,13.63,0.56
2022/02/05 20:00:00,70.10,65.0,75.0,10.18,0.99
2022/02/06 02:00:00,65.10,65.0,75.0,0.00,16.05
2022/02/06 08:00:00,65.10,65.0,75.0,0.00,22.49
2022/02/06 14:00:00,73.40,65.0,75.0,24.74,0.14
2022/02/06 20:00:00,71.00,65.0,75.0,6.11,0.11
2022/02/07 02:00:00,65.40,65.0,75.0,0.00,15.00
2022/02/07 08:00:00,65.10,65.0,75.0,0.00,22.62
2022/02/07 14:00:00,71.60,65.0,75.0,11.07,0.30
2022/02/07 20:00:00,70.90,65.0,75.0,16.33,0.05
2022/02/08 02:00:00,65.70,65.0,75.0,0.00,8.22
2022/02/08 08:00:00,65.10,65.0,75.0,0.00,20.00
2022/02/08 14:00:00,73.40,65.0,75.0,19.58,0.03
2022/02/08 20:00:00,70.80,65.0,75.0,29.14,0.06
2022/02/09 02:00:00,66.00,65.0,75.0,0.00,4.03
2022/02/09 08:00:00,65.30,65.0,75.0,0.00,11.79
2022/02/09 14:00:00,73.50,65.0,75.0,25.68,0.01
2022/02/09 20:00:00,71.20,65.0,75.0,27.79,0.03
2022/02/10 02:00:00,66.40,65.0,75.0,0.00,0.61
2022/02/10 08:00:00,65.70,65.0,75.0,0.00,3.13
2022/02/10 14:00:00,73.50,65.0,75.0,19.13,0.00
2022/02/10 20:00:00,71.00,65.0,75.0,21.26,0.00
2022/02/11 02:00:00,66.40,65.0,75.0,0.00,0.12
2022/02/11 08:00:00,66.30,65.0,75.0,0.00,0.12
2022/02/11 14:00:00,73.30,65.0,75.0,18.46,0.00
2022/02/11 20:00:00,70.90,65.0,75.0,15.39,1.25
2022/02/12 02:00:00,64.10,65.0,75.0,0.00,40.31
2022/02/12 08:00:00,47.80,65.0,75.0,0.00,98.27
2022/02/12 14:00:00,72.20,65.0,75.0,4.10,4.79
2022/02/12 20:00:00,70.50,65.0,75.0,2.20,0.63
2022/02/13 02:00:00,65.10,65.0,75.0,0.00,15.33
2022/02/13 08:00:00,65.00,65.0,75.0,0.00,29.30
2022/02/13 14:00:00,72.50,65.0,75.0,7.79,0.91
2022/02/13 20:00:00,70.90,65.0,75.0,4.17,0.41
2022/02/14 02:00:00,65.20,65.0,75.0,0.00,13.90
2022/02/14 08:00:00,65.10,65.0,75.0,0.00,19.37
2022/02/14 14:00:00,73.60,65.0,75.0,28.58,0.01
2022/02/14 20:00:00,71.40,65.0,75.0,15.58,0.04
2022/02/15 02:00:00,65.60,65.0,75.0,0.00,11.13
2022/02/15 08:00:00,65.10,65.0,75.0,0.00,19.65
2022/02/15 14:00:00,74.10,65.0,75.0,25.30,0.02
2022/02/15 20:00:00,71.90,65.0,75.0,18.90,0.00
2022/02/16 02:00:00,66.40,65.0,75.0,0.00,0.04
2022/02/16 08:00:00,66.10,65.0,75.0,0.00,0.04
2022/02/16 14:00:00,74.70,65.0,75.0,48.62,0.00
2022/02/16 20:00:00,70.10,65.0,75.0,8.43,0.05
2022/02/17 02:00:00,65.60,65.0,75.0,0.00,12.35
2022/02/17 08:00:00,65.00,65.0,75.0,0.00,24.56
2022/02/17 14:00:00,65.80,65.0,75.0,0.00,6.33
2022/02/17 20:00:00,69.50,65.0,75.0,1.34,5.19
2022/02/18 02:00:00,64.80,65.0,75.0,0.00,31.32
2022/02/18 08:00:00,65.10,65.0,75.0,0.00,34.46
2022/02/18 14:00:00,73.10,65.0,75.0,19.26,0.31
2022/02/18 20:00:00,71.20,65.0,75.0,19.47,0.12
2022/02/19 02:00:00,65.90,65.0,75.0,0.00,6.55
2022/02/19 08:00:00,65.00,65.0,75.0,0.00,28.52
2022/02/19 14:00:00,73.20,65.0,75.0,16.17,0.19
2022/02/19 20:00:00,70.50,65.0,75.0,11.83,1.04
2022/02/20 02:00:00,65.40,65.0,75.0,0.00,5.34
2022/02/20 08:00:00,65.90,65.0,75.0,0.00,0.89
2022/02/20 14:00:00,75.40,65.0,75.0,51.44,0.00
